date,AQI
01/11/2018,84
01/12/2018,68
01/13/2018,37
01/14/2018,35
01/15/2018,65
01/16/2018,90
01/17/2018,69
01/18/2018,67
01/19/2018,75
01/20/2018,34
01/21/2018,37
01/22/2018,34
01/23/2018,28
01/24/2018,42
01/25/2018,55
01/26/2018,43
01/27/2018,39
01/28/2018,16
01/29/2018,21
01/30/2018,29
01/31/2018,51
02/01/2018,55
02/02/2018,54
02/03/2018,73
02/04/2018,62
02/05/2018,54
02/06/2018,74
02/07/2018,28
02/08/2018,40
02/09/2018,60
02/10/2018,78
02/11/2018,60
02/12/2018,48
02/13/2018,35
02/14/2018,49
02/15/2018,54
02/16/2018,30
02/17/2018,43
02/18/2018,48
02/19/2018,27
02/20/2018,35
02/21/2018,51
02/22/2018,55
02/23/2018,37
02/24/2018,44
02/25/2018,48
02/26/2018,44
02/27/2018,30
02/28/2018,56
03/01/2018,58
03/02/2018,56
03/03/2018,52
03/04/2018,45
03/05/2018,18
03/06/2018,30
03/09/2018,70
03/10/2018,66
03/11/2018,46
03/12/2018,73
03/13/2018,73
03/14/2018,38
03/15/2018,31
03/16/2018,37
03/17/2018,30
03/18/2018,49
03/19/2018,43
03/20/2018,57
03/21/2018,60
03/22/2018,47
03/23/2018,43
03/24/2018,52
03/25/2018,34
03/26/2018,38
03/27/2018,28
03/29/2018,65
03/30/2018,71
03/31/2018,80
04/01/2018,82
04/02/2018,68
04/03/2018,79
04/04/2018,91
04/05/2018,101
04/06/2018,69
04/07/2018,62
04/08/2018,63
04/09/2018,54
04/10/2018,54
04/11/2018,57
04/12/2018,35
04/13/2018,35
04/14/2018,54
04/15/2018,55
04/16/2018,50
04/17/2018,39
04/18/2018,29
04/19/2018,39
04/20/2018,53
04/21/2018,57
04/22/2018,56
04/23/2018,65
04/24/2018,71
04/25/2018,78
04/26/2018,75
04/27/2018,76
04/28/2018,67
04/29/2018,59
04/30/2018,53
05/01/2018,49
05/02/2018,48
05/03/2018,60
05/04/2018,52
05/05/2018,52
05/06/2018,55
05/07/2018,60
05/08/2018,71
05/09/2018,81
05/10/2018,75
05/11/2018,58
05/12/2018,33
05/13/2018,41
05/14/2018,67
05/15/2018,55
05/16/2018,40
05/17/2018,44
05/18/2018,52
05/19/2018,69
05/20/2018,65
05/21/2018,50
05/22/2018,54
05/23/2018,66
05/24/2018,61
05/25/2018,43
05/26/2018,45
05/27/2018,55
05/28/2018,72
05/29/2018,74
05/30/2018,56
05/31/2018,49
06/01/2018,60
06/02/2018,67
06/03/2018,72
06/04/2018,72
06/05/2018,78
06/06/2018,70
06/07/2018,70
06/08/2018,70
06/09/2018,65
06/10/2018,67
06/11/2018,69
06/12/2018,73
06/13/2018,74
06/14/2018,67
06/15/2018,65
06/16/2018,57
06/17/2018,30
06/18/2018,52
06/19/2018,65
06/20/2018,74
06/21/2018,84
06/22/2018,95
06/23/2018,82
06/24/2018,66
06/25/2018,66
06/26/2018,63
06/27/2018,67
06/28/2018,68
06/29/2018,64
06/30/2018,61
07/01/2018,63
07/02/2018,60
07/03/2018,66
07/04/2018,83
07/05/2018,132
07/06/2018,69
07/07/2018,70
07/08/2018,65
07/09/2018,88
07/10/2018,72
07/11/2018,67
07/12/2018,64
07/13/2018,66
07/14/2018,66
07/15/2018,63
07/16/2018,67
07/17/2018,72
07/18/2018,71
07/19/2018,67
07/20/2018,64
07/21/2018,56
07/22/2018,58
07/23/2018,66
07/24/2018,79
07/25/2018,87
07/26/2018,88
08/08/2018,66
08/09/2018,77
08/10/2018,63
08/11/2018,60
08/12/2018,60
08/13/2018,62
08/17/2018,82
08/18/2018,78
08/19/2018,86
08/20/2018,87
08/21/2018,88
08/22/2018,91
08/23/2018,86
08/24/2018,94
08/25/2018,122
08/26/2018,102
08/27/2018,95
08/28/2018,82
08/29/2018,69
08/30/2018,60
08/31/2018,72
09/01/2018,76
09/02/2018,71
09/03/2018,74
09/04/2018,80
09/05/2018,76
09/06/2018,68
09/07/2018,80
09/08/2018,77
09/09/2018,65
09/10/2018,71
09/11/2018,68
09/12/2018,73
09/13/2018,56
09/14/2018,23
09/15/2018,32
09/16/2018,26
09/17/2018,37
09/18/2018,24
09/19/2018,50
09/20/2018,61
09/21/2018,59
09/22/2018,56
09/23/2018,48
09/24/2018,45
09/25/2018,61
09/26/2018,66
09/27/2018,67
09/28/2018,64
09/29/2018,55
09/30/2018,31
10/01/2018,35
10/02/2018,25
10/03/2018,27
10/04/2018,18
10/05/2018,27
10/06/2018,31
10/07/2018,33
10/08/2018,35
10/09/2018,36
10/10/2018,26
10/11/2018,30
10/12/2018,29
10/13/2018,25
10/14/2018,39
10/15/2018,3
10/16/2018,6
10/17/2018,9
10/18/2018,9
10/19/2018,0
10/20/2018,8
10/21/2018,30
10/22/2018,55
10/23/2018,64
10/24/2018,59
10/25/2018,62
10/26/2018,53
10/27/2018,55
10/28/2018,70
10/29/2018,70
10/30/2018,63
10/31/2018,30
11/01/2018,14
11/02/2018,4
11/03/2018,23
11/04/2018,25
11/05/2018,53
11/06/2018,51
11/07/2018,58
11/08/2018,57
11/09/2018,10
11/10/2018,45
11/11/2018,102
11/12/2018,36
11/13/2018,13
11/14/2018,15
11/15/2018,16
11/16/2018,27
11/17/2018,52
11/18/2018,60
11/19/2018,37
11/20/2018,59
11/21/2018,62
11/22/2018,23
11/23/2018,40
11/24/2018,58
11/25/2018,38
11/26/2018,13
11/27/2018,20
11/28/2018,28
11/29/2018,8
11/30/2018,20
12/01/2018,29
12/02/2018,38
12/03/2018,33
12/04/2018,8
12/05/2018,11
12/06/2018,14
12/08/2018,28
12/09/2018,27
12/10/2018,38
12/11/2018,45
12/12/2018,62
12/13/2018,31
12/14/2018,20
12/15/2018,16
12/16/2018,50
12/17/2018,56
12/18/2018,52
12/19/2018,31
12/20/2018,25
12/21/2018,64
12/22/2018,68
12/23/2018,71
12/24/2018,92
12/25/2018,39
12/26/2018,17
12/27/2018,20
12/28/2018,0
12/29/2018,15
12/30/2018,33
12/31/2018,23
01/01/2019,9
01/02/2019,11
01/03/2019,18
01/04/2019,35
01/05/2019,31
01/06/2019,20
01/07/2019,18
01/08/2019,18
01/09/2019,29
01/10/2019,63
01/11/2019,70
01/12/2019,28
01/13/2019,18
01/14/2019,6
01/15/2019,6
01/16/2019,5
01/17/2019,12
01/18/2019,30
01/19/2019,15
01/20/2019,12
01/21/2019,2
01/22/2019,7
01/23/2019,18
01/24/2019,14
01/25/2019,8
01/26/2019,2
01/27/2019,13
01/28/2019,43
01/29/2019,62
01/30/2019,75
01/31/2019,64
02/01/2019,21
02/02/2019,9
02/03/2019,8
02/04/2019,8
02/05/2019,3
02/06/2019,14
02/07/2019,23
02/09/2019,40
02/10/2019,21
02/11/2019,12
02/12/2019,11
02/13/2019,5
02/14/2019,7
02/15/2019,10
02/16/2019,15
02/17/2019,15
02/18/2019,14
02/19/2019,11
02/20/2019,30
02/21/2019,25
02/22/2019,17
02/23/2019,28
02/24/2019,43
02/26/2019,53
02/27/2019,57
02/28/2019,41
03/01/2019,54
03/02/2019,18
03/03/2019,13
03/04/2019,17
03/05/2019,47
03/06/2019,5
03/07/2019,10
03/08/2019,8
03/09/2019,14
03/10/2019,15
03/11/2019,15
03/12/2019,12
03/13/2019,41
03/14/2019,4
