"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2024","AirNow","060650012","3","9.8","ug/m3 LC","41","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/02/2024","AirNow","060650012","3","10.1","ug/m3 LC","42","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/03/2024","AirNow","060650012","3","9","ug/m3 LC","38","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/04/2024","AirNow","060650012","3","7.4","ug/m3 LC","31","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/05/2024","AirNow","060650012","3","8.5","ug/m3 LC","35","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/06/2024","AirNow","060650012","3","8","ug/m3 LC","33","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/07/2024","AirNow","060650012","3","5.6","ug/m3 LC","23","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/08/2024","AirNow","060650012","3","6.7","ug/m3 LC","28","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/09/2024","AirNow","060650012","3","6.2","ug/m3 LC","26","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/10/2024","AirNow","060650012","3","7.9","ug/m3 LC","33","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/11/2024","AirNow","060650012","3","7.3","ug/m3 LC","30","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/12/2024","AirNow","060650012","3","10.4","ug/m3 LC","43","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/13/2024","AirNow","060650012","3","10.9","ug/m3 LC","45","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/14/2024","AirNow","060650012","3","15.7","ug/m3 LC","59","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/15/2024","AirNow","060650012","3","9.9","ug/m3 LC","41","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/16/2024","AirNow","060650012","3","9.7","ug/m3 LC","40","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/17/2024","AirNow","060650012","3","24.5","ug/m3 LC","77","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/18/2024","AirNow","060650012","3","9.6","ug/m3 LC","40","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/19/2024","AirNow","060650012","3","8.9","ug/m3 LC","37","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/20/2024","AirNow","060650012","3","7","ug/m3 LC","29","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/21/2024","AirNow","060650012","3","4","ug/m3 LC","17","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/22/2024","AirNow","060650012","3","6.2","ug/m3 LC","26","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/23/2024","AirNow","060650012","3","6.8","ug/m3 LC","28","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
"01/24/2024","AirNow","060650012","3","11","ug/m3 LC","46","Banning Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.92086","-116.85841"
