"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/06/2019","AQS","060712002","1","0.2","ppm","2","Fontana","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.10002","-117.49201"
"05/07/2019","AQS","060712002","1","0.1","ppm","1","Fontana","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.10002","-117.49201"
"05/08/2019","AQS","060712002","1","0.2","ppm","2","Fontana","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.10002","-117.49201"
"05/09/2019","AQS","060712002","1","0.2","ppm","2","Fontana","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.10002","-117.49201"
"05/10/2019","AQS","060712002","1","0.3","ppm","3","Fontana","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.10002","-117.49201"
"05/11/2019","AQS","060712002","1","0.3","ppm","3","Fontana","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.10002","-117.49201"
"05/12/2019","AQS","060712002","1","0.4","ppm","5","Fontana","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.10002","-117.49201"
"05/13/2019","AQS","060712002","1","0.2","ppm","2","Fontana","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.10002","-117.49201"
"05/14/2019","AQS","060712002","1","0.3","ppm","3","Fontana","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.10002","-117.49201"
"05/15/2019","AQS","060712002","1","0.2","ppm","2","Fontana","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.10002","-117.49201"
"05/16/2019","AQS","060712002","1","0.1","ppm","1","Fontana","16","67.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.10002","-117.49201"
"05/17/2019","AQS","060712002","1","0.2","ppm","2","Fontana","24","100.0000","42101","Carbon monoxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.10002","-117.49201"
