"Category","Warehouse count","Acreage","Warehouse floor space (Sq.Ft.)","Daily Truck trips","Daily Diesel PM (pounds)","Daily NOx (pounds)","Daily CO2 (metric tons)","Jobs"
"Existing","9,011","59,202","1,418,400,000","950,000","1314","148,010","39954.2","473,616"
"Planned and Approved","377","18,307","438,600,000","294,000","406.7","45,805","12364.8","146,456"
