"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/19/2023","AQS","060658001","9","0.4","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/20/2023","AQS","060658001","9","0.5","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/21/2023","AQS","060658001","9","0.8","ppb","0","Rubidoux","19","79.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/22/2023","AQS","060658001","9","0.7","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/23/2023","AQS","060658001","9","0.4","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/24/2023","AQS","060658001","9","0.2","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/25/2023","AQS","060658001","9","0.2","ppb","0","Rubidoux","18","75.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/27/2023","AQS","060658001","9","0.6","ppb","0","Rubidoux","22","92.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/28/2023","AQS","060658001","9","0.4","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/29/2023","AQS","060658001","9","0.4","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"04/30/2023","AQS","060658001","9","0.1","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"05/01/2023","AQS","060658001","9","0.1","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"05/02/2023","AQS","060658001","9","0.2","ppb","0","Rubidoux","21","88.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"05/03/2023","AQS","060658001","9","0.3","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"05/04/2023","AQS","060658001","9","0.1","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
"05/05/2023","AQS","060658001","9","0.1","ppb","0","Rubidoux","24","100.0000","42401","Sulfur dioxide","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.9995800008751","-117.41601"
