"new_date","average_AQI"
2017-01-01,45.7096774193548
2017-02-01,49.8928571428571
2017-03-01,47.5789473684211
2017-04-01,52.4
2017-05-01,56.258064516129
2017-06-01,68.9
2017-07-01,73.741935483871
2017-08-01,74.962962962963
2017-09-01,62.5333333333333
2017-10-01,64.5161290322581
2017-11-01,65.7307692307692
2017-12-01,55.6451612903226
2018-01-01,57.7
2018-02-01,49
2018-03-01,49.6428571428571
2018-04-01,60.8666666666667
2018-05-01,56.5161290322581
2018-06-01,67.7666666666667
2018-07-01,71.8846153846154
2018-08-01,80.0952380952381
2018-09-01,58
2018-10-01,34.258064516129
2018-11-01,35.5666666666667
2018-12-01,35.2
2019-01-01,24.5806451612903
2019-02-01,20.8076923076923
2019-03-01,20.8387096774194
2019-04-01,31.3666666666667
2019-05-01,30.3870967741935
2019-06-01,48.5
2019-07-01,57.9032258064516
2019-08-01,47.2380952380952
2019-09-01,31.1666666666667
2019-10-01,37.741935483871
2019-11-01,43.8333333333333
2019-12-01,30.2
2020-01-01,39.258064516129
2020-02-01,33.2068965517241
2020-03-01,15.8064516129032
2020-04-01,28.8
2020-05-01,42.0645161290323
2020-06-01,41
2020-07-01,55.1935483870968
2020-08-01,54.1333333333333
2020-09-01,74.6
2020-10-01,65.3225806451613
2020-11-01,44.8125
2020-12-01,33.1290322580645
2021-01-01,31.8387096774194
2021-02-01,38.8571428571429
2021-03-01,24.5806451612903
2021-04-01,38.7666666666667
2021-05-01,45.9354838709677
2021-06-01,44.7
2021-07-01,56.5483870967742
2021-08-01,54.6
2021-09-01,55.8214285714286
2021-10-01,33.1612903225806
2021-11-01,56.7333333333333
2021-12-01,54.0967741935484
2022-01-01,33.0322580645161
2022-02-01,23.0357142857143
2022-03-01,29.4516129032258
2022-04-01,39.7333333333333
2022-05-01,49.0322580645161
2022-06-01,49.8
2022-07-01,49.6129032258064
2022-08-01,48.4838709677419
2022-09-01,45.2666666666667
2022-10-01,52.0967741935484
2022-11-01,34.5
2022-12-01,41.1290322580645
2023-01-01,32.4516129032258
2023-02-01,32.5714285714286
2023-03-01,35.741935483871
